1 2 3 4 5 6 7 8 
8 9 15 20 27 38 45 50 
8 14 17 23 29 36 42 51 
8 13 19 25 31 34 46 52 
8 12 22 26 33 39 43 53 
8 11 18 28 37 41 47 54 
8 10 21 30 35 44 49 55 
1 10 11 12 13 14 15 16 
2 9 16 23 28 35 46 53 
3 16 17 22 31 37 44 50 
4 16 21 25 27 39 42 54 
5 16 20 30 33 34 47 51 
6 16 19 26 36 41 45 55 
7 16 18 29 38 43 49 52 
1 18 19 20 21 22 23 24 
5 9 10 24 31 36 43 54 
2 11 17 24 30 39 45 52 
6 12 24 25 29 35 47 50 
3 13 24 28 33 38 42 55 
7 14 24 27 34 41 44 53 
4 15 24 26 37 46 49 51 
1 26 27 28 29 30 31 32 
6 9 13 18 32 39 44 51 
4 10 17 19 32 38 47 53 
2 14 20 25 32 37 43 55 
7 11 21 32 33 36 46 50 
5 15 22 32 35 41 42 52 
3 12 23 32 34 45 49 54 
1 34 35 36 37 38 39 40 
3 9 14 21 26 40 47 52 
5 12 17 18 27 40 46 55 
7 10 22 25 28 40 45 51 
2 15 19 29 33 40 44 54 
4 13 23 30 40 41 43 50 
6 11 20 31 40 42 49 53 
1 42 43 44 45 46 47 48 
4 9 11 22 29 34 48 55 
7 13 17 20 26 35 48 54 
3 15 18 25 30 36 48 53 
6 10 23 27 33 37 48 52 
2 12 21 31 38 41 48 51 
5 14 19 28 39 48 49 50 
1 50 51 52 53 54 55 56 
7 9 12 19 30 37 42 56 
6 15 17 21 28 34 43 56 
5 11 23 25 26 38 44 56 
4 14 18 31 33 35 45 56 
3 10 20 29 39 41 46 56 
2 13 22 27 36 47 49 56 
1 9 17 25 33 41 49 57 
2 10 18 26 34 42 50 57 
3 11 19 27 35 43 51 57 
4 12 20 28 36 44 52 57 
5 13 21 29 37 45 53 57 
6 14 22 30 38 46 54 57 
7 15 23 31 39 47 55 57 
8 16 24 32 40 48 56 57 
